datamodelKey,s3.folderName,s3.apiPath,s3.collectionName,s3.infoName,s4.apiPath,s4.collectionName,s4.info.singularName,s4.info.pluralName,s4.info.displayName
Address,address,/addresses,addresses,address,/api/addresses,addresses,address,addresses,Address
ArticleType,article-type,/article-types,article_types,ArticleType,/api/article-types,article_types,article-type,article-types,ArticleType
Award,industry-award,/industry-awards,industry_awards,Award,/api/industry-awards,industry_awards,industry-award,industry-awards,Award
Awarding,awarding,/awardings,awardings,Awarding,/api/awardings,awardings,awarding,awardings,Awarding
BannerGroup,banner,/banners,banners,BannerGroup,/api/banners,banners,banner,banners,BannerGroup
BrunoArticle,bruno-article,/bruno-articles,bruno_articles,Bruno_Article,/api/bruno-articles,bruno_articles,bruno-article,bruno-articles,BrunoArticle
BrunoFooter,bruno-footer,/bruno-footers,bruno_footers,Bruno_Footer,/api/bruno-footers,bruno_footers,bruno-footer,bruno-footers,BrunoFooter
BrunoMenu,bruno-menu,/bruno-menus,bruno_menus,Bruno_Menu,/api/bruno-menus,bruno_menus,bruno-menu,bruno-menus,BrunoMenu
BrunoSupporter,bruno-supporter,/bruno-supporters,bruno_supporters,Bruno_Supporter,/api/bruno-supporters,bruno_supporters,bruno-supporter,bruno-supporters,BrunoSupporter
BusinessProfile,business-profile,/business-profiles,business_profiles,BusinessProfile,/api/business-profiles,business_profiles,business-profile,business-profiles,BusinessProfile
Cassette,cassette,/cassettes,cassettes,Cassette,/api/cassettes,cassettes,cassette,cassettes,Cassette
Channel,channel,/channels,channels,Channel,/api/channels,channels,channel,channels,Channel
Cinema,cinema,/cinemas,cinemas,Cinema,/api/cinemas,cinemas,cinema,cinemas,Cinema
Country,country,/countries,countries,Country,/api/countries,countries,country,countries,Country
County,county,/counties,counties,County,/api/counties,counties,county,counties,County
Course,course,/courses,courses,Course,/api/courses,courses,course,courses,Course
CourseEvent,course-event,/course-events,course_events,CourseEvent,/api/course-events,course_events,course-event,course-events,CourseEvent
Delivery,delivery,/deliveries,deliveries,Delivery,/api/deliveries,deliveries,delivery,deliveries,Delivery
DeliveryType,delivery-type,/delivery-types,delivery_types,DeliveryType,/api/delivery-types,delivery_types,delivery-type,delivery-types,DeliveryType
DisCampArticle,dis-camp-article,/dis-camp-articles,dis_camp_articles,DisCampArticle,/api/dis-camp-articles,dis_camp_articles,dis-camp-article,dis-camp-articles,DisCampArticle
DisCampCategory,dis-camp-category,/dis-camp-categories,dis_camp_categories,DisCampCategory,/api/dis-camp-categories,dis_camp_categories,dis-camp-category,dis-camp-categories,DisCampCategory
DisCampEvent,dis-camp-event,/dis-camp-events,dis_camp_events,DisCampEvent,/api/dis-camp-events,dis_camp_events,dis-camp-event,dis-camp-events,DisCampEvent
DisCampFooter,dis-camp-footer,/dis-camp-footers,dis_camp_footers,DisCampFooter,/api/dis-camp-footers,dis_camp_footers,dis-camp-footer,dis-camp-footers,DisCampFooter
DisCampGroup,dis-camp-group,/dis-camp-groups,dis_camp_groups,DisCampGroup,/api/dis-camp-groups,dis_camp_groups,dis-camp-group,dis-camp-groups,DisCampGroup
DisCampMenu,dis-camp-menu,/dis-camp-menus,dis_camp_menus,DisCampMenu,/api/dis-camp-menus,dis_camp_menus,dis-camp-menu,dis-camp-menus,DisCampMenu
DisCampPerson,dis-camp-person,/dis-camp-people,dis_camp_people,DisCampPerson,/api/dis-camp-persons,dis_camp_people,dis-camp-person,dis-camp-persons,DisCampPerson
DisCampPersonType,dis-camp-person-type,/dis-camp-person-types,dis_camp_person_types,DisCampPersonType,/api/dis-camp-person-types,dis_camp_person_types,dis-camp-person-type,dis-camp-person-types,DisCampPersonType
DisCampProject,dis-camp-project,/dis-camp-projects,dis_camp_projects,DisCampProject,/api/dis-camp-projects,dis_camp_projects,dis-camp-project,dis-camp-projects,DisCampProject
DisCampSupporter,dis-camp-supporter,/dis-camp-supporters,dis_camp_supporters,DisCampSupporter,/api/dis-camp-supporters,dis_camp_supporters,dis-camp-supporter,dis-camp-supporters,DisCampSupporter
Domain,domain,/domains,Domeen,Domain,/api/domains,Domeen,domain,domains,Domain
DumbFolder,dumb-folder,/dumb-folders,dumb_folders,DumbFolder,/api/dumb-folders,dumb_folders,dumb-folder,dumb-folders,DumbFolder
Event,event,/events,events,Event,/api/events,events,event,events,Event
EventAccess,event-access,/event-accesses,event_accesses,EventAccess,/api/event-accesses,event_accesses,event-access,event-accesses,EventAccess
EventMode,event-mode,/event-modes,event_modes,EventMode,/api/event-modes,event_modes,event-mode,event-modes,EventMode
EventType,event-type,/event-types,event_types,EventType,/api/event-types,event_types,event-type,event-types,EventType
EyeColour,eye-colour,/eye-colours,eye_colours,EyeColour,/api/eye-colours,eye_colours,eye-colour,eye-colours,EyeColour
Festival,festival,/festivals,FestivalCollectionName,Festival,/api/festivals,FestivalCollectionName,festival,festivals,Festival
FestivalEdition,festival-edition,/festival-editions,Edition,FestivalEdition,/api/festival-editions,Edition,festival-edition,festival-editions,FestivalEdition
Film,film,/films,films,Film,/api/films,films,film,films,Film
FilmikooliArticle,filmikooli-article,/filmikooli-articles,filmikooli_articles,Filmikooli_Article,/api/filmikooli-articles,filmikooli_articles,filmikooli-article,filmikooli-articles,FilmikooliArticle
FilmikooliFooter,filmikooli-footer,/filmikooli-footers,filmikooli_footers,Filmikooli_Footer,/api/filmikooli-footers,filmikooli_footers,filmikooli-footer,filmikooli-footers,FilmikooliFooter
FilmikooliMenu,filmikooli-menu,/filmikooli-menus,filmikooli_menus,Filmikooli_Menu,/api/filmikooli-menus,filmikooli_menus,filmikooli-menu,filmikooli-menus,FilmikooliMenu
FilmikooliSupporter,filmikool-supporter,/filmikool-supporters,filmikool_supporters,Filmikooli_Supporter,/api/filmikool-supporters,filmikool_supporters,filmikool-supporter,filmikool-supporters,FilmikooliSupporter
Filmography,filmography,/filmographies,filmographies,Filmography,/api/filmographies,filmographies,filmography,filmographies,Filmography
FrontPageCourses,front-page-courses,/front-page-courses,front_page_courses,Front_Page_Courses,/api/front-page-courseses,front_page_courses,front-page-courses,front-page-courseses,FrontPageCourses
Function,function,/functions,functions,UserFunction,/api/functions,functions,function,functions,Function
Gender,gender,/genders,genders,Gender,/api/genders,genders,gender,genders,Gender
HOFFiArticle,hof-fi-article,/hof-fi-articles,hof_fi_articles,HOFFi_Article,/api/hof-fi-articles,hof_fi_articles,hof-fi-article,hof-fi-articles,HOFFiArticle
HOFFiFooter,hof-fi-footer,/hof-fi-footers,hof_fi_footers,HOFFi_Footer,/api/hof-fi-footers,hof_fi_footers,hof-fi-footer,hof-fi-footers,HOFFiFooter
HOFFiMenu,hof-fi-menu,/hof-fi-menus,hof_fi_menus,HOFFi_Menu,/api/hof-fi-menus,hof_fi_menus,hof-fi-menu,hof-fi-menus,HOFFiMenu
HOFFiSupporter,hof-fi-supporter,/hof-fi-supporters,hof_fi_supporters,HOFFi_Supporter,/api/hof-fi-supporters,hof_fi_supporters,hof-fi-supporter,hof-fi-supporters,HOFFiSupporter
HairColour,hair-colour,/hair-colours,hair_colours,HairColour,/api/hair-colours,hair_colours,hair-colour,hair-colours,HairColour
HairLength,hair-length,/hair-lengths,hair_lengths,HairLength,/api/hair-lengths,hair_lengths,hair-length,hair-lengths,HairLength
Hall,hall,/halls,halls,Hall,/api/halls,halls,hall,halls,Hall
HeroArticleBruno,hero-article-bruno,/hero-article-bruno,hero_article_bruno,HeroArticleBruno,/api/hero-article-brunos,hero_article_bruno,hero-article-bruno,hero-article-brunos,HeroArticleBruno
HeroArticleDisCamp,hero-article-dis-camp,/hero-article-dis-camp,hero_article_dis_camps,HeroArticleDisCamp,/api/hero-article-dis-camps,hero_article_dis_camps,hero-article-dis-camp,hero-article-dis-camps,HeroArticleDisCamp
HeroArticleFilmikool,hero-article-filmikool,/hero-article-filmikool,hero_article_filmikools,HeroArticleFilmikool,/api/hero-article-filmikools,hero_article_filmikools,hero-article-filmikool,hero-article-filmikools,HeroArticleFilmikool
HeroArticleHoff,hero-article-hoff,/hero-article-hoff,hero_article_hoffs,HeroArticleHoff,/api/hero-article-hoffs,hero_article_hoffs,hero-article-hoff,hero-article-hoffs,HeroArticleHoff
HeroArticleIndustry,hero-article-industry,/hero-article-industry,hero_article_industries,HeroArticleIndustry,/api/hero-article-industries,hero_article_industries,hero-article-industry,hero-article-industries,HeroArticleIndustry
HeroArticleJustFilm,hero-article-just-film,/hero-article-just-film,hero_article_just_films,HeroArticleJustFilm,/api/hero-article-just-films,hero_article_just_films,hero-article-just-film,hero-article-just-films,HeroArticleJustFilm
HeroArticleKinoff,hero-article-kinoff,/hero-article-kinoff,hero_article_kinoffs,HeroArticleKinoff,/api/hero-article-kinoffs,hero_article_kinoffs,hero-article-kinoff,hero-article-kinoffs,HeroArticleKinoff
HeroArticleKumu,hero-article-kumu,/hero-article-kumu,hero_article_kumu,HeroArticleKumu,/api/hero-article-kumus,hero_article_kumu,hero-article-kumu,hero-article-kumus,HeroArticleKumu
HeroArticlePoff,article-hero,/article-hero,article_heroes,HeroArticlePoff,/api/article-heros,article_heroes,article-hero,article-heros,HeroArticlePoff
HeroArticleShorts,hero-article-shorts,/hero-article-shorts,hero_article_shorts,HeroArticleShorts,/api/hero-article-shortses,hero_article_shorts,hero-article-shorts,hero-article-shortses,HeroArticleShorts
HeroArticleTartuff,hero-article-tartuff,/hero-article-tartuff,hero_article_tartuffs,HeroArticleTartuff,/api/hero-article-tartuffs,hero_article_tartuffs,hero-article-tartuff,hero-article-tartuffs,HeroArticleTartuff
IndustryArticle,industry-article,/industry-articles,industry_articles,Industry_Article,/api/industry-articles,industry_articles,industry-article,industry-articles,IndustryArticle
IndustryCategory,industry-category,/industry-categories,industry_categories,Industry_Category,/api/industry-categories,industry_categories,industry-category,industry-categories,IndustryCategory
IndustryEvent,industry-event,/industry-events,industry_events,Industry_Event,/api/industry-events,industry_events,industry-event,industry-events,IndustryEvent
IndustryFooter,industry-footer,/industry-footers,industry_footers,Industry_Footer,/api/industry-footers,industry_footers,industry-footer,industry-footers,IndustryFooter
IndustryGroup,industry-group,/industry-groups,industry_groups,Industry_Group,/api/industry-groups,industry_groups,industry-group,industry-groups,IndustryGroup
IndustryMenu,industry-menu,/industry-menus,industry_menus,Industry_Menu,/api/industry-menus,industry_menus,industry-menu,industry-menus,IndustryMenu
IndustryPerson,industry-person,/industry-people,industry_people,Industry_Person,/api/industry-persons,industry_people,industry-person,industry-persons,IndustryPerson
IndustryPersonType,industry-person-type,/industry-person-types,industry_person_types,Industry_PersonType,/api/industry-person-types,industry_person_types,industry-person-type,industry-person-types,IndustryPersonType
IndustryProject,industry-project,/industry-projects,industry_projects,Industry_Project,/api/industry-projects,industry_projects,industry-project,industry-projects,IndustryProject
IndustrySupporter,industry-supporter,/industry-supporters,industry_supporters,Industry_Supporter,/api/industry-supporters,industry_supporters,industry-supporter,industry-supporters,IndustrySupporter
JustFilmFooter,just-film-footer,/just-film-footers,just_film_footers,JustFilm_Footer,/api/just-film-footers,just_film_footers,just-film-footer,just-film-footers,JustFilmFooter
JustFilmiArticle,just-filmi-article,/just-filmi-articles,just_filmi_articles,JustFilmi_Article,/api/just-filmi-articles,just_filmi_articles,just-filmi-article,just-filmi-articles,JustFilmiArticle
JustFilmiMenu,just-filmi-menu,/just-filmi-menus,just_filmi_menus,JustFilmi_Menu,/api/just-filmi-menus,just_filmi_menus,just-filmi-menu,just-filmi-menus,JustFilmiMenu
JustSupporter,supporters-just,/supporters-justs,supporters_justs,Just_Supporter,/api/supporters-justs,supporters_justs,supporters-just,supporters-justs,JustSupporter
KinoffiArticle,kinoffi-article,/kinoffi-articles,kinoffi_articles,Kinoffi_Article,/api/kinoffi-articles,kinoffi_articles,kinoffi-article,kinoffi-articles,KinoffiArticle
KinoffiFooter,kinoffi-footer,/kinoffi-footers,kinoffi_footers,Kinoffi_Footer,/api/kinoffi-footers,kinoffi_footers,kinoffi-footer,kinoffi-footers,KinoffiFooter
KinoffiMenu,kinoffi-menu,/kinoffi-menus,kinoffi_menus,Kinoffi_Menu,/api/kinoffi-menus,kinoffi_menus,kinoffi-menu,kinoffi-menus,KinoffiMenu
KinoffiSupporter,kinoffi-supporter,/kinoffi-supporters,kinoffi_supporters,Kinoffi_Supporter,/api/kinoffi-supporters,kinoffi_supporters,kinoffi-supporter,kinoffi-supporters,KinoffiSupporter
KumuArticle,kumu-article,/kumu-articles,kumu_articles,Kumu_Article,/api/kumu-articles,kumu_articles,kumu-article,kumu-articles,KumuArticle
KumuFooter,kumu-footer,/kumu-footers,kumu_footers,Kumu_Footer,/api/kumu-footers,kumu_footers,kumu-footer,kumu-footers,KumuFooter
KumuMenu,kumu-menu,/kumu-menus,kumu_menus,Kumu_Menu,/api/kumu-menus,kumu_menus,kumu-menu,kumu-menus,KumuMenu
KumuSupporter,kumu-supporter,/kumu-supporters,kumu_supporters,Kumu_Supporter,/api/kumu-supporters,kumu_supporters,kumu-supporter,kumu-supporters,KumuSupporter
L1MenuIndustry,l1-menu-industry,/l-1-menu-industries,l1_menu_industries,L1MenuIndustry,/api/l1-menu-industries,l1_menu_industries,l1-menu-industry,l1-menu-industries,L1MenuIndustry
L1MenuKumu,l1-menu-kumu,/l-1-menu-kumus,l1_menu_kumus,L1MenuKumu,/api/l1-menu-kumus,l1_menu_kumus,l1-menu-kumu,l1-menu-kumus,L1MenuKumu
LabelGroup,label-group,/label-groups,label_groups,LabelGroup,/api/label-groups,label_groups,label-group,label-groups,LabelGroup
Language,language,/languages,languages,Language,/api/languages,languages,language,languages,Language
Location,location,/locations,locations,Location,/api/locations,locations,location,locations,Location
Municipality,populated-place,/populated-places,populated_places,Municipality,/api/populated-places,populated_places,populated-place,populated-places,Municipality
Organisation,organisation,/organisations,organisations,Organisation,/api/organisations,organisations,organisation,organisations,Organisation
Origin,origin,/origins,origins,Origin,/api/origins,origins,origin,origins,Origin
POFFiArticle,pof-fi-article,/pof-fi-articles,pof_fi_articles,POFFi_Article,/api/pof-fi-articles,pof_fi_articles,pof-fi-article,pof-fi-articles,POFFiArticle
POFFiFooter,pof-fi-footer,/pof-fi-footers,pof_fi_footers,POFFi_Footer,/api/pof-fi-footers,pof_fi_footers,pof-fi-footer,pof-fi-footers,POFFiFooter
POFFiMenu,pof-fi-menu,/pof-fi-menus,pof_fi_menus,POFFi_Menu,/api/pof-fi-menus,pof_fi_menus,pof-fi-menu,pof-fi-menus,POFFiMenu
POFFiSupporter,supporters-page,/supporters-pages,supporters_pages,POFFi_Supporter,/api/supporters-pages,supporters_pages,supporters-page,supporters-pages,POFFiSupporter
PatternCollection,pattern-collections,/pattern-collections,pattern_collections,Pattern_Collections,/api/pattern-collectionses,pattern_collections,pattern-collections,pattern-collectionses,PatternCollection
Person,person,/people,people,Person,/api/persons,people,person,persons,Person
PitchOfVoice,pitch-of-voice,/pitch-of-voices,pitch_of_voices,PitchOfVoice,/api/pitch-of-voices,pitch_of_voices,pitch-of-voice,pitch-of-voices,PitchOfVoice
Product,product,/products,products,Product,/api/products,products,product,products,Product
ProductType,product-type,/product-types,product_types,ProductType,/api/product-types,product_types,product-type,product-types,ProductType
Product_Category,product-category,/product-categories,product_categories,Product_Category,/api/product-categories,product_categories,product-category,product-categories,Product_Category
Programme,programme,/programmes,programmes,Programme,/api/programmes,programmes,programme,programmes,Programme
ProjectStatus,project-status,/project-statuses,project_statuses,Project_Status,/api/project-statuses,project_statuses,project-status,project-statuses,ProjectStatus
ProjectType,project-type,/project-types,project_types,Project_Type,/api/project-types,project_types,project-type,project-types,ProjectType
RoleAtFilm,role-at-film,/role-at-films,role_at_films,RoleAtFilm,/api/role-at-films,role_at_films,role-at-film,role-at-films,RoleAtFilm
Screening,screening,/screenings,screenings,Screening,/api/screenings,screenings,screening,screenings,Screening
ScreeningType,screening-type,/screening-types,screening_types,ScreeningType,/api/screening-types,screening_types,screening-type,screening-types,ScreeningType
ShoeSize,shoe-size,/shoe-sizes,shoe_sizes,Shoe_Size,/api/shoe-sizes,shoe_sizes,shoe-size,shoe-sizes,ShoeSize
Shop,shop,/shops,shops,Shop,/api/shops,shops,shop,shops,Shop
ShortsSupporter,supporters-shorts,/supporters-shorts,supporters_shorts,Shorts_Supporter,/api/supporters-shortses,supporters_shorts,supporters-shorts,supporters-shortses,ShortsSupporter
ShortsiArticle,shortsi-article,/shortsi-articles,shortsi_articles,Shortsi_Article,/api/shortsi-articles,shortsi_articles,shortsi-article,shortsi-articles,ShortsiArticle
ShortsiFooter,shortsi-footer,/shortsi-footers,shortsi_footers,Shortsi_Footer,/api/shortsi-footers,shortsi_footers,shortsi-footer,shortsi-footers,ShortsiFooter
ShortsiMenu,shortsi-menu,/shortsi-menus,shortsi_menus,Shortsi_Menu,/api/shortsi-menus,shortsi_menus,shortsi-menu,shortsi-menus,ShortsiMenu
SixFilms,six-films,/six-films,six_films,SixFilms,/api/six-filmses,six_films,six-films,six-filmses,SixFilms
SmartFolder,smart-folder,/smart-folders,smart_folders,SmartFolder,/api/smart-folders,smart_folders,smart-folder,smart-folders,SmartFolder
Stature,stature,/statures,statures,Stature,/api/statures,statures,stature,statures,Stature
TagAgeRestriction,age-restriction,/age-restrictions,age_restrictions,TagAgeRestriction,/api/age-restrictions,age_restrictions,age-restriction,age-restrictions,TagAgeRestriction
TagCategory,tag-category,/tag-categories,tag_categories,TagCategory,/api/tag-categories,tag_categories,tag-category,tag-categories,TagCategory
TagFilmType,tag-film-type,/tag-film-types,tag_film_types,TagFilmType,/api/tag-film-types,tag_film_types,tag-film-type,tag-film-types,TagFilmType
TagGenre,tag-genre,/tag-genres,tag_genres,TagGenre,/api/tag-genres,tag_genres,tag-genre,tag-genres,TagGenre
TagKeyword,tag-keyword,/tag-keywords,tag_keywords,TagKeyword,/api/tag-keywords,tag_keywords,tag-keyword,tag-keywords,TagKeyword
TagLocation,tag-location,/tag-locations,tag_locations,TagLocation,/api/tag-locations,tag_locations,tag-location,tag-locations,TagLocation
TagLookingFor,tag-looking-for,/tag-looking-fors,tag_looking_fors,TagLookingFor,/api/tag-looking-fors,tag_looking_fors,tag-looking-for,tag-looking-fors,TagLookingFor
TagPremiereType,tag-premiere-type,/tag-premiere-types,tag_premiere_types,TagPremiereType,/api/tag-premiere-types,tag_premiere_types,tag-premiere-type,tag-premiere-types,TagPremiereType
TagSecret,tag-secret,/tag-secrets,tag_secrets,TagSecret,/api/tag-secrets,tag_secrets,tag-secret,tag-secrets,TagSecret
TagTriggerWarning,trigger-warning,/trigger-warnings,trigger_warnings,TagTriggerWarning,/api/trigger-warnings,trigger_warnings,trigger-warning,trigger-warnings,TagTriggerWarning
TartuffiArticle,tartuffi-article,/tartuffi-articles,tartuffi_articles,Tartuffi_Article,/api/tartuffi-articles,tartuffi_articles,tartuffi-article,tartuffi-articles,TartuffiArticle
TartuffiFooter,tartuffi-footer,/tartuffi-footers,tartuffi_footers,Tartuffi_Footer,/api/tartuffi-footers,tartuffi_footers,tartuffi-footer,tartuffi-footers,TartuffiFooter
TartuffiMenu,tartuffi-menu,/tartuffi-menus,tartuffi_menus,Tartuffi_Menu,/api/tartuffi-menus,tartuffi_menus,tartuffi-menu,tartuffi-menus,TartuffiMenu
TartuffiSupporter,tartuffi-supporter,/tartuffi-supporters,tartuffi_supporters,Tartuffi_Supporter,/api/tartuffi-supporters,tartuffi_supporters,tartuffi-supporter,tartuffi-supporters,TartuffiSupporter
Team,team,/teams,teams,Team,/api/teams,teams,team,teams,Team
TimeUnits,time-units,/time-units,time_units,TimeUnits,/api/time-unitses,time_units,time-units,time-unitses,TimeUnits
Town,town,/towns,towns,Town,/api/towns,towns,town,towns,Town
Transaction,transaction,/transactions,transactions,transaction,/api/transactions,transactions,transaction,transactions,Transaction
TransactionProduct,transactions-products,/transactions-products,transactions_products,TransactionsProducts,/api/transactions-productses,transactions_products,transactions-products,transactions-productses,TransactionProduct
TrioBruno,trio-bruno,/trio-bruno,trio_bruno,TrioBruno,/api/trio-brunos,trio_bruno,trio-bruno,trio-brunos,TrioBruno
TrioDisCamp,trio-dis-camp,/trio-dis-camp,trio_dis_camps,TrioDisCamp,/api/trio-dis-camps,trio_dis_camps,trio-dis-camp,trio-dis-camps,TrioDisCamp
TrioFilmikool,trio-filmikool,/trio-filmikool,trio_filmikools,TrioFilmikool,/api/trio-filmikools,trio_filmikools,trio-filmikool,trio-filmikools,TrioFilmikool
TrioHOFF,trio-hoff,/trio-hoff,trio_hoffs,TrioHOFF,/api/trio-hoffs,trio_hoffs,trio-hoff,trio-hoffs,TrioHOFF
TrioIndustry,trio-industry,/trio-industry,trio_industries,TrioIndustry,/api/trio-industries,trio_industries,trio-industry,trio-industries,TrioIndustry
TrioJustFilm,trio-just-film,/trio-just-film,trio_just_films,TrioJustFilm,/api/trio-just-films,trio_just_films,trio-just-film,trio-just-films,TrioJustFilm
TrioKinoff,trio-kinoff,/trio-kinoff,trio_kinoffs,TrioKinoff,/api/trio-kinoffs,trio_kinoffs,trio-kinoff,trio-kinoffs,TrioKinoff
TrioKumu,trio-kumu,/trio-kumu,trio_kumu,TrioKumu,/api/trio-kumus,trio_kumu,trio-kumu,trio-kumus,TrioKumu
TrioPOFF,trio-p-oe-ff,/trio-p-oe-ff,trio_p_oe_ffs,TrioPOFF,/api/trio-p-oe-ffs,trio_p_oe_ffs,trio-p-oe-ff,trio-p-oe-ffs,TrioPOFF
TrioShorts,trio-shorts,/trio-shorts,trio_shorts,TrioShorts,/api/trio-shortses,trio_shorts,trio-shorts,trio-shortses,TrioShorts
TrioTartuff,trio-tartuff,/trio-tartuff,trio_tartuffs,TrioTartuff,/api/trio-tartuffs,trio_tartuffs,trio-tartuff,trio-tartuffs,TrioTartuff
TypeOfWork,type-of-work,/type-of-works,type_of_works,TypeOfWork,/api/type-of-works,type_of_works,type-of-work,type-of-works,TypeOfWork
UserProfile,user-profiles,/user-profiles,user_profiles,UserProfiles,/api/user-profileses,user_profiles,user-profiles,user-profileses,UserProfile
UserRole,user-role,/user-roles,user_roles,UserRole,/api/user-roles,user_roles,user-role,user-roles,UserRole
WebAuthor,web-author,/web-authors,web_authors,WebAuthor,/api/web-authors,web_authors,web-author,web-authors,WebAuthor
WebPermission,web-permission,/web-permissions,web_permissions,webPermission,/api/web-permissions,web_permissions,web-permission,web-permissions,WebPermission
WebRole,web-role,/web-roles,web_roles,webRole,/api/web-roles,web_roles,web-role,web-roles,WebRole
WebUser,web-user,/web-users,web_users,webUser,/api/web-users,web_users,web-user,web-users,WebUser
